variable,variable_desc,wealth,wealth_label,education,education_label,prevalence,prevalence_pct,n_women
D106,Physical IPV,1,Poorest,0,No education,0.3719391311107762,37.19391311107762,795.0
D106,Physical IPV,1,Poorest,1,Primary,0.47946988899202947,47.94698889920295,968.0
D106,Physical IPV,1,Poorest,2,Secondary,0.3432733158207374,34.32733158207374,656.0
D106,Physical IPV,1,Poorest,3,Higher,0.0,0.0,1.0
D106,Physical IPV,2,Poorer,0,No education,0.38581258935433366,38.58125893543337,536.0
D106,Physical IPV,2,Poorer,1,Primary,0.3983835280593133,39.83835280593133,842.0
D106,Physical IPV,2,Poorer,2,Secondary,0.3786895742281212,37.86895742281212,842.0
D106,Physical IPV,2,Poorer,3,Higher,0.0,0.0,3.0
D106,Physical IPV,3,Middle,0,No education,0.3808357644032586,38.083576440325864,366.0
D106,Physical IPV,3,Middle,1,Primary,0.33884616640544635,33.884616640544635,646.0
D106,Physical IPV,3,Middle,2,Secondary,0.28686038772986205,28.686038772986205,863.0
D106,Physical IPV,3,Middle,3,Higher,0.06597036073061759,6.5970360730617585,15.0
D106,Physical IPV,4,Richer,0,No education,0.241404108533182,24.1404108533182,114.0
D106,Physical IPV,4,Richer,1,Primary,0.42352584825744594,42.35258482574459,277.0
D106,Physical IPV,4,Richer,2,Secondary,0.30004319265692675,30.004319265692676,887.0
D106,Physical IPV,4,Richer,3,Higher,0.4873303478886361,48.73303478886361,48.0
D106,Physical IPV,5,Richest,0,No education,0.3236939217387905,32.36939217387905,13.0
D106,Physical IPV,5,Richest,1,Primary,0.4194514025081106,41.94514025081106,40.0
D106,Physical IPV,5,Richest,2,Secondary,0.31330655054159795,31.330655054159795,571.0
D106,Physical IPV,5,Richest,3,Higher,0.2163148279502234,21.63148279502234,179.0
